user_procid	item_procid
0	2142
0	2303
0	2611
0	2660
0	3174
0	4173
0	4289
0	5527
0	6398
0	7272
0	7527
0	7859
1	787
1	1489
1	1991
1	2431
1	4324
1	5633
1	6462
1	7751
2	164
2	391
2	429
2	494
2	511
2	952
2	1069
2	1210
2	1283
2	1483
2	1497
2	1806
2	2666
2	3072
2	3637
2	3821
2	4170
2	4439
2	4530
2	4666
2	4747
2	4795
2	4857
2	4869
2	4870
2	4968
2	5139
2	5181
2	5300
2	5433
2	5490
2	5510
2	5851
2	5935
2	5965
2	6237
2	6402
2	6565
2	6755
2	6845
2	6875
2	6899
2	6974
2	7073
2	7499
2	8015
2	8075
2	8203
3	28
3	174
3	183
3	206
3	458
3	496
3	948
3	985
3	1066
3	1483
3	1824
3	1837
3	2191
3	2477
3	2507
3	2904
3	2949
3	3021
3	3397
3	3566
3	3606
3	3829
3	4037
3	4135
3	4274
3	4327
3	4346
3	5099
3	5137
3	5388
3	5497
3	5600
3	6159
3	6177
3	6462
3	6481
3	6521
3	6553
3	6781
3	6834
3	6891
3	7205
3	7605
3	7869
3	7994
4	232
4	985
4	1073
4	2251
4	4164
4	4843
4	5062
4	6948
5	198
5	365
5	3003
5	4854
5	5891
5	6072
5	6090
5	6102
6	1215
6	4525
6	4730
6	6072
6	6074
6	6102
6	6912
6	7102
7	20
7	134
7	146
7	1566
7	1673
7	3427
7	5661
7	7441
8	28
8	261
8	2941
8	3899
8	5026
8	5174
8	5661
8	5869
9	602
9	1170
9	1348
9	2640
9	3163
9	3950
9	6063
9	6123
9	6945
9	6982
9	7592
9	7644
10	1
10	495
10	1559
10	2110
10	2417
10	2678
10	4742
10	5524
10	5975
10	6498
10	7231
10	7324
11	1016
11	1484
11	1518
11	2019
11	2781
11	2852
11	6639
11	7049
12	2302
12	2714
12	2901
12	3442
12	4009
12	5190
12	5268
12	6585
12	7240
13	3433
13	4933
13	4954
13	5520
13	5522
13	5712
13	5867
13	8050
14	3797
14	4406
14	4525
14	5191
14	5240
14	5272
14	6210
14	6671
14	6756
15	119
15	727
15	764
15	821
