user_procid	item_procid
0	32
0	71
0	103
0	112
0	125
0	132
0	175
0	193
0	194
0	240
0	241
0	272
0	279
0	302
0	333
0	348
0	363
0	385
0	389
0	394
0	409
0	411
0	423
0	467
0	472
0	495
0	499
0	502
0	534
0	576
0	604
0	624
0	676
0	680
0	706
0	707
0	708
0	712
0	757
0	761
0	766
0	784
0	809
0	825
0	834
0	842
0	895
0	926
0	929
0	960
0	974
0	1005
0	1096
0	1098
0	1109
0	1115
1	30
1	123
1	134
1	185
1	243
1	328
1	343
1	367
1	579
1	711
1	754
1	755
1	859
1	886
1	894
1	902
2	15
2	80
2	88
2	89
2	98
2	110
2	111
2	112
2	117
2	133
2	138
2	140
2	147
2	148
2	179
2	181
2	201
2	222
2	272
2	318
2	332
2	376
2	514
2	530
2	578
2	645
2	666
2	676
2	678
2	680
2	703
2	711
2	716
2	720
2	842
2	862
2	946
2	947
2	950
2	1005
2	1026
2	1028
2	1031
2	1095
3	119
3	135
3	149
3	333
3	381
3	525
3	599
3	638
3	738
3	835
3	850
3	966
4	116
4	119
4	177
4	186
4	245
4	439
4	570
4	632
4	742
4	886
4	887
4	1069
4	1118
5	97
5	121
5	333
5	507
5	519
5	542
5	834
5	896
5	961
5	1015
5	1026
5	1038
6	194
6	198
6	296
6	359
6	372
6	405
6	415
6	467
6	495
6	564
6	579
6	835
7	333
7	402
7	463
7	647
7	676
7	872
7	938
7	984
7	1087
7	1123
7	1145
8	73
8	78
8	91
8	101
8	119
8	138
8	140
8	193
8	219
8	227
8	776
8	922
8	1029
9	18
9	53
9	55
9	123
9	127
9	187
9	202
9	244
9	330
9	379
9	397
9	438
9	481
9	487
9	586
9	622
9	762
10	333
10	341
10	392
10	778
10	1023
10	1025
10	1030
10	1063
11	71
11	220
11	298
11	333
11	432
11	474
11	562
11	604
11	606
11	672
11	777
11	778
11	928
11	964
11	1093
12	40
12	232
12	349
12	384
12	394
12	395
12	417
12	424
12	437
12	440
12	611
12	703
12	715
12	771
12	830
12	839
12	899
12	969
12	987
12	1021
12	1075
13	16
13	180
13	181
13	193
13	276
13	333
13	341
13	366
13	401
13	476
13	579
13	580
13	677
13	685
13	828
13	896
13	1042
14	133
14	333
14	696
14	852
14	929
14	1087
14	1090
14	1092
15	32
15	117
15	119
15	120
15	133
15	135
15	150
15	179
15	193
15	223
15	226
15	244
15	257
15	263
15	273
15	309
15	311
15	333
15	397
15	494
15	495
15	520
15	521
15	525
15	529
15	562
15	612
15	629
15	630
15	640
15	641
15	642
15	676
15	754
15	757
15	761
15	810
15	845
15	857
15	860
15	928
15	951
15	974
15	981
15	984
15	994
15	999
15	1023
15	1028
15	1068
15	1069
15	1074
15	1112
15	1113
16	21
16	333
16	381
16	446
16	547
16	585
16	829
16	1115
17	333
17	341
17	491
17	539
17	663
17	766
17	973
17	1148
18	153
18	177
18	210
18	386
18	391
18	630
18	704
18	850
18	873
18	1004
19	244
19	245
19	304
19	391
19	395
19	447
19	498
19	612
20	125
20	264
20	756
20	767
20	835
20	851
20	971
20	1004
21	55
21	333
21	356
21	537
21	543
21	567
21	817
21	826
21	948
21	986
21	1037
21	1044
21	1080
21	1088
21	1094
21	1101
21	1148
22	194
22	246
22	257
22	271
22	286
22	323
22	332
22	333
22	341
22	401
22	440
22	472
22	525
22	563
22	602
22	696
22	704
22	710
22	736
22	766
22	784
22	852
22	914
22	1024
23	181
23	202
23	236
23	330
23	566
23	578
23	626
23	627
23	747
23	857
23	867
23	896
23	950
23	1058
23	1110
23	1128
24	1
24	42
24	177
24	182
24	191
24	240
24	269
24	278
24	306
24	311
24	341
24	345
24	494
24	505
24	525
24	541
24	543
24	546
24	578
24	598
24	600
24	627
24	645
24	673
24	676
24	711
24	748
24	761
24	766
24	767
24	768
24	769
24	771
24	783
24	784
24	813
24	816
24	842
24	911
24	924
24	943
24	952
24	976
24	1058
24	1113
24	1120
25	281
25	701
25	702
25	882
25	910
25	937
25	939
25	942
25	991
25	1006
25	1008
25	1011
25	1034
25	1050
25	1060
25	1067
25	1083
25	1084
25	1116
25	1129
25	1131
25	1142
25	1151
25	1153
25	1161
25	1166
25	1173
25	1177
25	1178
25	1181
25	1184
25	1188
25	1191
25	1192
25	1193
25	1194
25	1195
25	1196
25	1199
26	848
26	882
26	937
26	940
26	942
26	992
26	1000
26	1006
26	1020
26	1053
26	1067
26	1083
26	1085
26	1131
26	1137
26	1139
26	1151
26	1153
26	1154
26	1159
26	1165
26	1166
26	1172
26	1173
26	1177
26	1178
26	1181
26	1183
26	1185
26	1187
26	1190
26	1191
26	1192
26	1193
26	1198
26	1199
27	77
27	91
27	159
27	193
27	246
27	315
27	427
27	443
27	619
27	680
27	866
27	1074
27	1099
27	1120
28	98
28	164
28	175
28	183
28	205
28	231
28	602
28	914
29	44
29	165
29	174
29	368
29	411
29	458
29	580
29	909
30	15
30	18
30	34
30	47
30	65
30	77
30	116
30	117
30	119
30	124
30	127
30	128
30	131
30	135
30	136
30	150
30	163
30	167
30	182
30	212
30	236
30	269
30	272
30	306
30	330
30	334
30	371
30	513
30	514
30	525
30	562
30	576
30	578
30	579
30	611
30	630
30	641
30	642
30	658
30	671
30	673
30	699
30	705
30	706
30	718
30	720
30	721
30	725
30	727
30	734
30	748
30	751
30	757
30	783
30	784
30	862
30	952
30	974
30	1032
30	1058
30	1096
30	1098
30	1112
30	1114
30	1120
31	15
31	17
31	18
31	24
31	65
31	116
31	121
31	123
31	124
31	127
31	128
31	133
31	135
31	136
31	236
31	365
31	397
31	404
31	475
31	539
31	560
31	585
31	600
31	630
31	699
31	873
32	137
32	167
32	260
32	273
32	323
32	325
32	331
32	392
32	579
32	655
32	839
32	891
32	938
32	1017
32	1056
32	1148
33	69
33	390
33	489
33	530
33	550
33	573
33	622
33	808
33	1089
34	5
34	334
34	406
34	412
34	426
34	436
34	536
34	591
34	620
34	715
34	738
34	766
34	809
34	958
35	121
35	211
35	239
35	333
35	343
35	436
35	507
35	521
35	522
35	526
35	580
35	592
35	660
35	735
35	800
35	906
35	1070
35	1078
35	1093
35	1094
35	1107
36	39
36	92
36	98
36	211
36	423
36	537
36	596
36	1031
37	23
37	69
37	295
37	442
37	479
37	589
37	648
37	803
38	116
38	117
38	119
38	133
38	144
38	193
38	194
38	211
38	226
38	316
38	318
38	381
38	397
38	416
38	436
38	439
38	474
38	501
38	502
38	509
38	534
38	584
38	586
38	629
38	1069
38	1079
38	1108
39	27
39	51
39	102
39	113
39	117
39	119
39	124
39	131
39	156
39	166
39	175
39	193
39	199
39	202
39	204
39	221
39	236
39	244
39	371
39	402
39	437
39	460
39	481
39	494
39	513
39	519
39	520
39	521
39	522
39	525
39	600
39	604
39	606
39	624
39	626
39	627
39	630
39	655
39	666
39	676
39	705
39	708
39	724
39	752
39	754
39	762
39	767
39	783
39	785
39	788
39	799
39	811
39	812
39	861
39	862
39	863
39	912
39	918
39	920
39	928
39	951
39	1016
39	1033
39	1115
40	117
40	187
40	250
40	266
40	285
40	349
40	481
40	502
40	887
40	888
40	1125
40	1155
41	180
41	206
41	333
41	426
41	536
41	657
41	699
41	1056
41	1114
42	16
42	154
42	193
42	246
42	446
42	500
42	537
42	558
42	562
42	601
42	801
43	4
43	5
43	14
43	66
43	161
43	275
43	399
43	479
44	193
44	216
44	377
44	579
44	625
44	1056
44	1064
44	1110
45	69
45	73
45	85
45	88
45	89
45	101
45	140
45	148
45	183
45	229
45	287
45	612
46	54
46	72
46	119
46	182
46	191
46	315
46	333
46	423
46	429
46	478
46	526
46	537
46	567
46	675
46	678
46	690
46	695
46	714
46	718
46	804
46	925
46	1078
46	1088
46	1145
47	26
47	194
47	304
47	333
47	507
47	577
47	646
47	715
47	748
47	773
47	814
47	833
47	935
47	1007
47	1017
47	1057
48	384
48	502
48	634
48	738
48	828
48	1037
48	1040
48	1087
49	54
49	177
49	428
49	440
49	445
49	872
49	876
49	1112
50	19
50	26
50	174
50	404
50	469
50	564
50	568
50	579
50	610
50	686
50	821
50	1128
51	280
51	702
51	882
51	898
51	933
51	937
51	942
51	953
51	988
51	1000
51	1006
51	1008
51	1011
51	1034
51	1050
51	1053
51	1054
51	1055
51	1060
51	1083
51	1084
51	1129
51	1132
51	1133
51	1135
51	1136
51	1137
51	1190
52	24
52	52
52	65
52	123
52	124
52	134
52	144
52	153
52	167
52	175
52	221
52	222
52	230
52	235
52	253
52	254
52	318
52	332
52	333
52	361
52	390
52	416
52	450
52	487
52	495
52	506
52	512
52	536
52	539
52	562
52	586
52	600
52	623
52	630
52	646
52	676
52	698
52	715
52	720
52	766
52	809
52	844
52	852
52	906
52	956
52	958
52	971
52	1015
52	1021
52	1068
52	1105
52	1128
52	1171
53	106
53	119
53	122
53	133
53	212
53	398
53	465
53	524
53	630
53	775
53	905
53	1027
54	38
54	44
54	60
54	117
54	131
54	136
54	181
54	191
54	198
54	234
54	241
54	247
54	272
54	283
54	308
54	328
54	332
54	333
54	368
54	405
54	494
54	527
54	570
54	573
54	574
54	575
54	576
54	578
54	600
54	604
54	606
54	607
54	608
54	623
54	625
54	640
54	641
54	642
54	700
54	709
54	711
54	729
54	740
54	747
54	748
54	758
54	788
54	816
54	820
54	838
54	842
54	850
54	888
54	889
54	896
54	911
54	952
54	965
54	966
54	1005
54	1024
54	1089
54	1097
54	1098
55	5
55	360
55	591
55	909
55	946
55	950
55	1004
55	1028
56	167
56	193
56	194
56	229
56	333
56	457
56	686
56	825
56	960
56	961
56	1058
56	1114
57	194
57	217
57	250
57	251
57	270
57	271
57	274
57	375
57	591
57	605
57	609
57	726
57	954
57	956
57	961
57	1070
58	19
58	328
58	575
58	704
58	727
58	744
58	893
58	931
58	995
58	997
59	333
59	422
59	562
59	599
59	827
59	878
59	909
59	999
59	1128
59	1167
59	1168
60	70
60	181
60	193
60	276
60	333
60	339
60	392
60	428
60	546
60	628
60	740
60	767
60	989
60	1037
60	1123
61	79
61	90
61	95
61	101
61	159
61	239
61	391
61	483
61	506
61	887
61	905
61	962
62	360
62	474
62	538
62	580
62	650
62	663
62	672
62	872
62	947
62	1056
63	62
63	91
63	101
63	137
63	138
63	159
63	196
63	260
63	266
63	533
63	571
64	61
64	111
64	162
64	178
64	185
64	193
64	216
64	219
64	232
64	243
64	256
64	295
64	332
64	333
64	415
64	453
64	598
64	645
64	679
64	686
64	973
64	990
64	1056
64	1069
65	53
65	116
65	125
65	168
65	177
65	204
65	245
65	355
65	379
65	447
65	624
65	633
65	975
65	977
65	978
65	1041
65	1101
66	26
66	48
66	133
66	198
66	204
66	283
66	328
66	329
66	460
66	555
66	567
66	593
66	605
66	683
66	733
66	744
66	853
66	859
66	971
66	977
66	980
66	1013
66	1014
66	1025
67	224
67	296
67	309
67	333
67	398
67	527
67	580
67	623
68	11
68	122
68	142
68	213
68	318
68	332
68	334
68	343
68	588
68	603
68	655
68	770
68	968
68	1038
68	1093
69	280
69	702
69	939
69	972
69	1053
69	1165
69	1183
69	1193
70	74
70	251
70	258
70	270
70	304
70	368
70	397
70	448
71	110
71	174
71	210
71	494
71	607
71	643
71	836
71	973
71	1101
72	849
72	882
72	940
72	972
72	988
72	1006
72	1020
72	1067
72	1103
72	1127
72	1135
72	1137
72	1165
72	1187
72	1196
73	194
73	333
73	341
73	386
73	400
73	446
73	584
73	732
73	767
73	861
73	938
73	1038
74	17
74	71
74	118
74	131
74	133
74	163
74	203
74	333
74	494
74	507
74	539
74	596
74	601
74	608
74	629
74	634
74	783
74	813
74	834
74	846
74	1056
75	194
75	285
75	304
75	321
75	333
75	349
75	835
75	1146
76	181
76	247
76	341
76	425
76	467
76	502
76	579
76	657
76	742
76	844
77	246
77	372
77	394
77	440
77	493
77	537
77	538
77	580
77	592
77	787
77	900
77	1114
78	65
78	119
78	371
78	578
78	633
78	714
78	735
78	816
78	820
78	985
78	1074
78	1095
79	97
79	101
79	111
79	176
79	196
79	397
79	629
79	740
80	26
80	133
80	398
80	586
80	600
80	696
80	751
80	788
80	796
80	893
80	905
81	446
81	495
81	612
81	673
81	725
81	755
81	822
81	838
81	875
82	11
82	47
82	144
82	182
82	194
82	201
82	231
82	326
82	332
82	397
82	406
82	482
82	626
82	819
82	825
82	838
82	949
82	950
82	960
82	961
82	1049
82	1070
82	1101
82	1107
83	65
83	277
83	333
83	341
83	525
83	766
83	777
83	894
83	985
83	1027
83	1056
83	1114
84	341
84	482
84	537
84	612
84	638
84	683
84	741
84	850
85	66
85	95
85	116
85	148
85	171
85	205
85	333
85	886
85	955
85	1030
85	1150
86	333
86	480
86	507
86	579
86	686
86	821
86	833
86	961
87	988
87	1020
87	1055
87	1071
87	1129
87	1130
87	1136
87	1153
87	1161
87	1166
87	1176
87	1188
88	52
88	55
88	60
88	65
88	84
88	97
88	102
88	119
88	120
88	123
88	126
88	127
